<span itemprop="title">Rijnbuur,�3500,<span class="specs-val">                140 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">De Omva,�1700,<span class="specs-val">                85 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2850,<span class="specs-val">                91 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2950,<span class="specs-val">                91 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2800,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Stadionbuur,�2350,<span class="specs-val">                94 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Oude Pij,�1500,<span class="specs-val">                55 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Scheldebuur,�2000,<span class="specs-val">                120 m²                   , class="specs-val">                Monumentaal pand                    
<span itemprop="title">Apollobuur,�2750,<span class="specs-val">                140 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Buitenveldert-Wes,�2850,<span class="specs-val">                104 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2800,<span class="specs-val">                91 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2850,<span class="specs-val">                91 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�2750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Frederik Hendrikbuur,�1750,<span class="specs-val">                75 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Frederik Hendrikbuur,�1500,<span class="specs-val">                65 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Nieuwmarkt/Lastag,�1950,<span class="specs-val">                90 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                100 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                100 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                100 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Oostelijk Havengebie,�1500,<span class="specs-val">                80 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Oostelijk Havengebie,�1750,<span class="specs-val">                95 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Indische Buurt Oos,�1600,<span class="specs-val">                90 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Indische Buurt Oos,�1600,<span class="specs-val">                90 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Indische Buurt Oos,�1600,<span class="specs-val">                90 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Indische Buurt Oos,�1275,<span class="specs-val">                70 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Weesperbuurt/Plantag,�1600,<span class="specs-val">                60 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Weesperbuurt/Plantag,�1600,<span class="specs-val">                60 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Weesperbuurt/Plantag,�1600,<span class="specs-val">                60 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Weesperbuurt/Plantag,�1950,<span class="specs-val">                81 m²                   , class="specs-val">                Gestoffeerd en beschermd stads- of dorpsgezicht                    
