price,furnished,location,space
"<span class=""price-wrapper"">€ 3.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Rijnbuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 1.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">De Omval</span>","<span class=""specs-val"">                85 m²                    </span>"
"<span class=""price-wrapper"">€ 2.850 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.800 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.350 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Stadionbuurt</span>","<span class=""specs-val"">                94 m²                    </span>"
"<span class=""price-wrapper"">€ 1.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Oude Pijp</span>","<span class=""specs-val"">                55 m²                    </span>"
"<span class=""price-wrapper"">€ 2.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Scheldebuurt</span>","<span class=""specs-val"">                120 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Apollobuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.850 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                104 m²                    </span>"
"<span class=""price-wrapper"">€ 2.800 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
