neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel West</span>,,"52 m²,52 m²","€ 1.300,-,€ 1.300,-",1,,,,Furnished,1057 BG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1081 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1081 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"160 m²,160 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1077 RE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"160 m²,160 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1077 RE Amsterdam (Noord-Holland)
<span></span>,,"55 m²,55 m²","€ 1.290,-,€ 1.290,-",1,,,,"Furnished,or unfurnished",1095 MA Amsterdam (Noord-Holland)
<span>Haarlem-Oost</span>,,"120 m²,120 m²","€ 1.205,-,€ 1.205,-",3,,Storage,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"52 m²,52 m²","€ 1.300,-,€ 1.300,-",1,,,,Furnished,1057 BG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"45 m²,45 m²","€ 1.400,-,€ 1.400,-",1,,,,Furnished,1012 BP Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"110 m²,110 m²","€ 2.000,-,€ 2.000,-",2,,Price inclusive: Service costs,,Furnished,1094 EA Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"80 m²,80 m²","€ 1.700,-,€ 1.700,-",3,,Construction year: 1931,,Unfurnished,1094 GX Amsterdam (Noord-Holland)
